Source,Target,Mol1_ID,Mol2_ID,Mol1_Activity,Mol2_Activity,Tanimoto_Similarity,Activity_Difference,Activity_Similarity,SALI,Type
160,280,160,280,2.736009672,6.606390996,0.523809524,3.8703813240000002,0.6129618676000387,8.127800783634052,Other
280,160,280,160,6.606390996,2.736009672,0.523809524,3.8703813240000002,0.6129618676000387,8.127800783634052,Other
263,0,263,0,4.810172691,1.656789972,0.611111111,3.1533827189999997,0.6846617281000316,8.108698417948093,Activity Cliff
0,263,0,263,1.656789972,4.810172691,0.611111111,3.1533827189999997,0.6846617281000316,8.108698417948093,Activity Cliff
29,297,29,297,4.953814713,0.91924935,0.5,4.034565363,0.5965434637000404,8.069130725983861,Other
250,55,250,55,3.76620492,7.306877373,0.56,3.540672453,0.6459327547000354,8.046982847708986,Other
55,250,55,250,7.306877373,3.76620492,0.56,3.540672453,0.6459327547000354,8.046982847708986,Other
254,288,254,288,6.97800555,2.661541876,0.458333333,4.3164636739999995,0.5683536326000432,7.968856008619838,Other
1,17,1,17,9.242442703,5.838750569,0.571428571,3.403692134,0.659630786600034,7.941948304706187,Other
17,1,17,1,5.838750569,9.242442703,0.571428571,3.403692134,0.659630786600034,7.941948304706187,Other
250,261,250,261,3.76620492,6.514400802,0.652173913,2.748195882,0.7251804118000275,7.901063159739653,Activity Cliff
261,250,261,250,6.514400802,3.76620492,0.652173913,2.748195882,0.7251804118000275,7.901063159739653,Activity Cliff
123,60,123,60,6.724378872,4.179711557,0.677419355,2.544667315,0.7455332685000254,7.888468680419779,Other
60,123,60,123,4.179711557,6.724378872,0.677419355,2.544667315,0.7455332685000254,7.888468680419779,Other
18,320,18,320,2.469854016,5.098120403,0.666666667,2.628266387,0.7371733613000263,7.884799168861146,Other
320,18,320,18,5.098120403,2.469854016,0.666666667,2.628266387,0.7371733613000263,7.884799168861146,Other
301,202,301,202,2.572778832,6.792821109,0.464285714,4.220042277,0.5779957723000422,7.877412246184011,Other
202,301,202,301,6.792821109,2.572778832,0.464285714,4.220042277,0.5779957723000422,7.877412246184011,Other
1,158,1,158,9.242442703,5.153178525,0.48,4.089264178,0.5910735822000409,7.8639695730618,Other
